variant,set_name,symbol,date,direction,sweep_reference,entry_trigger,sweep_time,sweep_level,sweep_extreme,confirmation_time,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,outcome,pnl_per_share,r_multiple,risk_per_share,stop_pct,mfe_r,mae_r,minutes_held,bias_15m,bias_1h,fvg_time,fvg_size,order_block_low,order_block_high,failure_reason
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2025-11-24,SHORT,opening_15m,market_1m_mss,2025-11-24 10:30:00,976.3,976.8,2025-11-24 10:35:00,2025-11-24 10:38:00,974.9,977.75,969.1999999999999,2025-11-24 15:04:00,969.1999999999999,target,5.7000000000000455,2.0,2.8500000000000227,0.0029233767565904427,2.2280701754385865,0.5087719298245733,266.0,1,-1,2025-11-24 10:38:00,0.20000000000004547,976.6,977.7,
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2025-12-02,LONG,opening_15m,market_1m_mss,2025-12-02 10:15:00,975.55,975.05,2025-12-02 10:20:00,2025-12-02 10:16:00,975.9,973.6500000000001,980.3999999999997,2025-12-02 10:25:00,980.3999999999997,target,4.499999999999773,2.0,2.2499999999998863,0.0023055640946817156,2.022222222222355,0.15555555555557352,9.0,1,-1,2025-12-02 10:16:00,0.14999999999997726,973.7,975.0,
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2025-12-10,SHORT,opening_15m,market_1m_mss,2025-12-10 09:45:00,961.45,963.4,2025-12-10 09:55:00,2025-12-10 09:55:00,960.7,963.55,955.0000000000002,2025-12-10 15:14:00,960.7,breakeven,0.0,0.0,2.849999999999909,0.002966586863745091,1.912280701754463,0.42105263157893685,319.0,-1,1,2025-12-10 09:55:00,0.10000000000002274,960.75,963.5,
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2025-12-11,LONG,opening_15m,market_1m_mss,2025-12-11 09:50:00,959.35,959.1,2025-12-11 10:05:00,2025-12-11 10:05:00,961.05,959.0500000000001,965.0499999999997,2025-12-11 10:30:00,961.05,breakeven,0.0,0.0,1.9999999999998863,0.002081057177045821,1.2250000000000925,0.0,25.0,1,1,2025-12-11 10:05:00,0.10000000000002274,959.1,960.95,
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2025-12-18,LONG,opening_15m,market_1m_mss,2025-12-18 10:05:00,976.0,974.55,2025-12-18 10:15:00,2025-12-18 10:06:00,976.1,973.75,980.8000000000001,2025-12-18 13:58:00,976.1,breakeven,0.0,0.0,2.3500000000000227,0.0024075402110439736,1.829787234042516,0.08510638297874193,232.0,-1,1,2025-12-18 10:06:00,0.5500000000000682,973.8,975.0,
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2026-01-01,SHORT,opening_15m,market_1m_mss,2026-01-01 09:55:00,984.6,984.9,2026-01-01 10:10:00,2026-01-01 10:09:00,984.8,986.55,981.3,2026-01-01 10:27:00,984.8,breakeven,0.0,0.0,1.75,0.0017770105605199025,1.742857142857117,0.08571428571433769,18.0,-1,1,2026-01-01 10:09:00,0.8999999999999773,984.55,986.5,
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2026-01-12,LONG,opening_15m,market_1m_mss,2026-01-12 09:45:00,998.05,997.5,2026-01-12 10:15:00,2026-01-12 10:05:00,999.0,997.3000000000001,1002.3999999999999,2026-01-12 10:31:00,999.0,breakeven,0.0,0.0,1.6999999999999318,0.0017017017017016333,1.1470588235294845,0.9705882352941432,26.0,-1,1,2026-01-12 10:05:00,0.35000000000002274,997.35,999.25,
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2026-01-14,LONG,opening_15m,market_1m_mss,2026-01-14 10:25:00,1025.0,1022.2,2026-01-14 10:55:00,2026-01-14 10:29:00,1025.25,1021.1500000000001,1033.4499999999998,2026-01-14 12:16:00,1021.1500000000001,stop,-4.099999999999909,-1.0,4.099999999999909,0.00399902462813939,0.6707317073170881,1.1585365853658793,107.0,1,1,2026-01-14 10:29:00,0.900000000000091,1021.2,1022.0,Opening-range whipsaw after liquidity grab
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2026-01-16,LONG,opening_15m,market_1m_mss,2026-01-16 09:35:00,1029.15,1028.7,2026-01-16 09:40:00,2026-01-16 09:37:00,1032.15,1028.3500000000001,1039.75,2026-01-16 10:33:00,1039.75,target,7.599999999999909,2.0,3.7999999999999545,0.0036816354212081135,2.052631578947381,0.32894736842105654,56.0,1,1,2026-01-16 09:37:00,1.2000000000000455,1028.4,1031.55,
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2026-01-20,LONG,opening_15m,market_1m_mss,2026-01-20 10:35:00,1039.0,1038.1,2026-01-20 10:45:00,2026-01-20 10:38:00,1041.0,1038.05,1046.9,2026-01-20 12:23:00,1038.05,stop,-2.9500000000000455,-1.0,2.9500000000000455,0.002833813640730111,0.4915254237288214,1.2203389830507978,105.0,1,1,2026-01-20 10:38:00,0.900000000000091,1038.1,1040.25,Opening-range whipsaw after liquidity grab
