Strategy,Rule,Period,WaitDays,CoreFraction,Months,Contributed,FinalValue,GainPct,Units,WeightedAverageNAV,AverageDelayDays,SignalBuys,UnitLiftVsImmediatePct
WaitAll_15,FiveDayDrop_2.50,Development,15,0.0,104,1040000.0,2867036.4000086025,175.6765769239041,52646.6476062992,19.754344241960116,13.39423076923077,20,-1.0642151910732145
Core50_Dip50_15,FiveDayDrop_2.50,Development,15,0.5,104,1040000.0,2882456.218510783,177.15925177988296,52929.79774378435,19.64866756216028,13.39423076923077,20,-0.5321075955366461
Core75_Dip25_15,FiveDayDrop_2.50,Development,15,0.75,104,1040000.0,2890166.127761874,177.90058920787249,53071.37281252695,19.596252082526096,13.39423076923077,20,-0.2660537977683286
WaitAll_20,FiveDayDrop_2.50,Development,20,0.0,104,1040000.0,2859943.8532776213,174.99460127669434,52516.40900577915,19.803334228080097,16.567307692307693,31,-1.3089650230326266
Core50_Dip50_20,FiveDayDrop_2.50,Development,20,0.5,104,1040000.0,2878909.9451452913,176.818263956278,52864.67844352431,19.67287100991334,16.567307692307693,31,-0.6544825115163855
Core75_Dip25_20,FiveDayDrop_2.50,Development,20,0.75,104,1040000.0,2888392.9910791293,177.73009529607015,53038.813162396946,19.608281897554438,16.567307692307693,31,-0.32724125575815943
WaitAll_5,FiveDayDrop_3.00,Development,5,0.0,104,1040000.0,2884070.057802226,177.31442863482943,52959.432257133936,19.63767275582729,4.903846153846154,5,-0.47641717707739284
Core50_Dip50_5,FiveDayDrop_3.00,Development,5,0.5,104,1040000.0,2890973.0474075954,177.97817763534573,53086.190069201744,19.590782435964677,4.903846153846154,5,-0.23820858853869087
Core75_Dip25_5,FiveDayDrop_3.00,Development,5,0.75,104,1040000.0,2894424.5422102795,178.3100521356038,53149.56897523563,19.567421148505925,4.903846153846154,5,-0.11910429426937874
WaitAll_10,FiveDayDrop_3.00,Development,10,0.0,104,1040000.0,2879195.012242989,176.84567425413354,52869.91305688206,19.670923212623357,9.557692307692308,9,-0.6446454068902097
Core50_Dip50_10,FiveDayDrop_3.00,Development,10,0.5,104,1040000.0,2888535.5246279766,177.74380044499773,53041.43046907579,19.607314335278733,9.557692307692308,9,-0.3223227034451215
Core75_Dip25_10,FiveDayDrop_3.00,Development,10,0.75,104,1040000.0,2893205.7808204703,178.1928635404298,53127.18917517266,19.575663914213095,9.557692307692308,9,-0.16116135172258295
WaitAll_15,FiveDayDrop_3.00,Development,15,0.0,104,1040000.0,2867496.1852787635,175.72078704603499,52655.09052425192,19.751176755094477,14.0,12,-1.0483489061014484
Core50_Dip50_15,FiveDayDrop_3.00,Development,15,0.5,104,1040000.0,2882686.111145864,177.1813568409484,52934.019202760726,19.64710059170719,14.0,12,-0.5241744530507408
Core75_Dip25_15,FiveDayDrop_3.00,Development,15,0.75,104,1040000.0,2890281.0740794144,177.91164173840522,53073.483542015136,19.59547274067084,14.0,12,-0.26208722652536487
WaitAll_20,FiveDayDrop_3.00,Development,20,0.0,104,1040000.0,2859194.571377573,174.9225549401513,52502.65013611516,19.808523899341456,17.48076923076923,18,-1.3348212670706072
Core50_Dip50_20,FiveDayDrop_3.00,Development,20,0.5,104,1040000.0,2878535.304195267,176.78224078800645,52857.79900869232,19.67543143120611,17.48076923076923,18,-0.6674106335353702
Core75_Dip25_20,FiveDayDrop_3.00,Development,20,0.75,104,1040000.0,2888205.670604118,177.71208371193444,53035.37344498097,19.60955363270702,17.48076923076923,18,-0.3337053167676074
WaitAll_5,TwentyDayDD_2,Development,5,0.0,104,1040000.0,2889448.819854246,177.83161729367748,53058.20107301294,19.60111686728438,3.7788461538461537,37,-0.2908066822418509
Core50_Dip50_5,TwentyDayDD_2,Development,5,0.5,104,1040000.0,2893662.4284336045,178.23677196476967,53135.57447714122,19.572574687178836,3.7788461538461537,37,-0.1454033411209643
Core75_Dip25_5,TwentyDayDD_2,Development,5,0.75,104,1040000.0,2895769.232723285,178.43934930031585,53174.26117920539,19.55833474573424,3.7788461538461537,37,-0.07270167056047105
WaitAll_10,TwentyDayDD_2,Development,10,0.0,104,1040000.0,2885118.4767724243,177.41523815119464,52978.6841034194,19.630536650737145,6.740384615384615,50,-0.4402383013488387
Core50_Dip50_10,TwentyDayDD_2,Development,10,0.5,104,1040000.0,2891497.256892692,178.02858239352807,53095.81599234442,19.58723075562021,6.740384615384615,50,-0.2201191506745248
Core75_Dip25_10,TwentyDayDD_2,Development,10,0.75,104,1040000.0,2894686.646952829,178.3352545146951,53154.38193680699,19.56564938026017,6.740384615384615,50,-0.1100595753372513
WaitAll_15,TwentyDayDD_2,Development,15,0.0,104,1040000.0,2879484.4401681344,176.87350386232063,52875.227746985925,19.668946013367925,9.192307692307692,55,-0.6346578186894547
Core50_Dip50_15,TwentyDayDD_2,Development,15,0.5,104,1040000.0,2888680.2385905473,177.7577152490911,53044.08781412769,19.606332069358498,9.192307692307692,55,-0.31732890934480507
Core75_Dip25_15,TwentyDayDD_2,Development,15,0.75,104,1040000.0,2893278.1378017575,178.19982094247672,53128.51784769864,19.575174353279074,9.192307692307692,55,-0.15866445467236368
WaitAll_20,TwentyDayDD_2,Development,20,0.0,104,1040000.0,2877030.8922581314,176.63758579405112,52830.173881537026,19.68571979967412,10.990384615384615,64,-0.719324929313403
Core50_Dip50_20,TwentyDayDD_2,Development,20,0.5,104,1040000.0,2887453.4646355445,177.63975621495618,53021.56088140322,19.614662086735542,10.990384615384615,64,-0.35966246465682916
Core75_Dip25_20,TwentyDayDD_2,Development,20,0.75,104,1040000.0,2892664.7508242563,178.14084142540926,53117.25438133641,19.57932525152167,10.990384615384615,64,-0.17983123232836462
WaitAll_5,TwentyDayDD_3,Development,5,0.0,104,1040000.0,2888720.7983343643,177.7616152244581,53044.83260220911,19.60605678217727,4.211538461538462,24,-0.31592927239351143
Core50_Dip50_5,TwentyDayDD_3,Development,5,0.5,104,1040000.0,2893298.4176736637,178.20177093016,53128.89024173931,19.575037145853113,4.211538461538462,24,-0.15796463619678347
Core75_Dip25_5,TwentyDayDD_3,Development,5,0.75,104,1040000.0,2895587.227343314,178.42184878301092,53170.91906150442,19.55956410678176,4.211538461538462,24,-0.07898231809840839
WaitAll_10,TwentyDayDD_3,Development,10,0.0,104,1040000.0,2883894.3594846916,177.29753456583572,52956.205954388635,19.638869160977197,7.855769230769231,30,-0.48248018030078166
Core50_Dip50_10,TwentyDayDD_3,Development,10,0.5,104,1040000.0,2890885.198248827,177.96973060084875,53084.57691782906,19.591377767027172,7.855769230769231,30,-0.2412400901504519
Core75_Dip25_10,TwentyDayDD_3,Development,10,0.75,104,1040000.0,2894380.6176308957,178.30582861835532,53148.7623995493,19.567718100032735,7.855769230769231,30,-0.12062004507523705
WaitAll_15,TwentyDayDD_3,Development,15,0.0,104,1040000.0,2876663.6029259018,176.60226951210595,52823.42944256046,19.688233251324263,11.278846153846153,33,-0.7319993614677944
Core50_Dip50_15,TwentyDayDD_3,Development,15,0.5,104,1040000.0,2887269.819969433,177.62209807398395,53018.18866191499,19.615909676429066,11.278846153846153,33,-0.3659996807339305
Core75_Dip25_15,TwentyDayDD_3,Development,15,0.75,104,1040000.0,2892572.9284911994,178.132012354923,53115.568271592274,19.57994678099343,11.278846153846153,33,-0.1829998403669486
WaitAll_20,TwentyDayDD_3,Development,20,0.0,104,1040000.0,2874544.0367261753,176.39846506982457,52784.50839684409,19.702750515001103,13.961538461538462,43,-0.8051414204328755
Core50_Dip50_20,TwentyDayDD_3,Development,20,0.5,104,1040000.0,2886210.036869569,177.5201958528432,52998.7281390568,19.623112412646446,13.961538461538462,43,-0.4025707102164655
Core75_Dip25_20,TwentyDayDD_3,Development,20,0.75,104,1040000.0,2892043.036941268,178.08106124435267,53105.838010163185,19.583534296191107,13.961538461538462,43,-0.2012853551082161
WaitAll_5,TwentyDayDD_4,Development,5,0.0,104,1040000.0,2886945.988347272,177.59096041800692,53012.24222562432,19.618110012658533,4.538461538461538,15,-0.3771744728238713
Core50_Dip50_5,TwentyDayDD_4,Development,5,0.5,104,1040000.0,2892411.0126801175,178.11644352693438,53112.595053446916,19.581042857225366,4.538461538461538,15,-0.1885872364119745
Core75_Dip25_5,TwentyDayDD_4,Development,5,0.75,104,1040000.0,2895143.5248465408,178.37918508139813,53162.771467358216,19.56256175693468,4.538461538461538,15,-0.09429361820600946
WaitAll_10,TwentyDayDD_4,Development,10,0.0,104,1040000.0,2879752.273493777,176.89925706670934,52880.14590104644,19.667116689619792,8.663461538461538,19,-0.6254154176266735
Core50_Dip50_10,TwentyDayDD_4,Development,10,0.5,104,1040000.0,2888814.1552533694,177.77059185128553,53046.54689115796,19.605423179267337,8.663461538461538,19,-0.3127077088133978
Core75_Dip25_10,TwentyDayDD_4,Development,10,0.75,104,1040000.0,2893345.096133167,178.20625924357375,53129.74738621375,19.574721340946223,8.663461538461538,19,-0.15635385440671
WaitAll_15,TwentyDayDD_4,Development,15,0.0,104,1040000.0,2871242.9703653706,176.08105484282407,52723.8917693671,19.725402755724613,12.663461538461538,22,-0.9190547251650916
Core50_Dip50_15,TwentyDayDD_4,Development,15,0.5,104,1040000.0,2884559.503689167,177.361490739343,52968.419825318306,19.63434067751615,12.663461538461538,22,-0.4595273625825791
Core75_Dip25_15,TwentyDayDD_4,Development,15,0.75,104,1040000.0,2891217.7703510663,178.00170868760256,53090.68385329393,19.58912420254076,12.663461538461538,22,-0.229763681291284
WaitAll_20,TwentyDayDD_4,Development,20,0.0,104,1040000.0,2865010.505028864,175.48177932969847,52609.4466209593,19.768312856301172,15.884615384615385,29,-1.1341248405496995
