Strategy,Rule,WaitDays,CoreFraction,Period_Dev,Months_Dev,Contributed_Dev,FinalValue_Dev,GainPct_Dev,Units_Dev,WeightedAverageNAV_Dev,AverageDelayDays_Dev,SignalBuys_Dev,UnitLiftVsImmediatePct_Dev,Period_Val,Months_Val,Contributed_Val,FinalValue_Val,GainPct_Val,Units_Val,WeightedAverageNAV_Val,AverageDelayDays_Val,SignalBuys_Val,UnitLiftVsImmediatePct_Val,Pass,Score
Core75_Dip25_10,DailyDrop_1.50,10,0.75,Development,104,1040000.0,2894025.114108589,178.27164558736433,53142.23438035093,19.570121808512717,9.173076923076923,19,-0.13288777211966085,Validation,32,320000.0,466126.96816859685,45.664677552686506,5457.400762289527,58.635972313265,8.8125,8,-0.14054369099024688,False,-0.27343146310990774
Core75_Dip25_15,DailyDrop_1.00,15,0.75,Development,104,1040000.0,2892537.629612853,178.12861823200507,53114.92008742231,19.5801857234889,11.192307692307692,50,-0.18421793520245755,Validation,32,320000.0,466363.433543,45.738572982187506,5460.169291901948,58.60624147214563,9.6875,21,-0.08988516802046487,False,-0.2741031032229224
Core75_Dip25_15,SixtyDayDD_4,15,0.75,Development,104,1040000.0,2892843.196509743,178.15799966439835,53120.53113328858,19.578117496424507,11.14423076923077,32,-0.17367342284281273,Validation,32,320000.0,466314.2019177825,45.72318809930702,5459.592889489432,58.61242888934996,11.1875,10,-0.10043217272767135,False,-0.2741055955704841
Core75_Dip25_20,TwentyDayDD_2,20,0.75,Development,104,1040000.0,2892664.7508242563,178.14084142540926,53117.25438133641,19.57932525152167,10.990384615384615,64,-0.17983123232836462,Validation,32,320000.0,466332.77621109574,45.72899256596743,5459.810356766396,58.61009432377462,9.375,24,-0.09645295899782802,False,-0.27628419132619264
Core75_Dip25_10,ThreeDayDrop_1.50,10,0.75,Development,104,1040000.0,2893031.6263553724,178.17611791878582,53123.99122179019,19.576842328319206,8.240384615384615,33,-0.16717107963618583,Validation,32,320000.0,466247.9565366271,45.702486417695965,5458.817290525408,58.620756652802385,7.78125,16,-0.11462407364074556,False,-0.2817951532769314
Core75_Dip25_15,DailyDrop_1.50,15,0.75,Development,104,1040000.0,2891790.9297512425,178.0568201683887,53101.20863106209,19.58524159451319,13.153846153846153,22,-0.20998507817453493,Validation,32,320000.0,466432.7879610559,45.760246237829975,5460.981291378085,58.59752724390814,12.40625,10,-0.07502721095589138,False,-0.2850122891304263
Core75_Dip25_15,TwentyDayDD_4,15,0.75,Development,104,1040000.0,2891217.7703510663,178.00170868760256,53090.68385329393,19.58912420254076,12.663461538461538,22,-0.229763681291284,Validation,32,320000.0,466525.0788117994,45.78908712868732,5462.061829930014,58.58593512188422,11.78125,9,-0.055255528974584855,False,-0.28501921026586885
Core75_Dip25_15,ThreeDayDrop_1.50,15,0.75,Development,104,1040000.0,2891014.207605115,177.98213534664566,53086.94588325915,19.59050351638258,11.39423076923077,43,-0.23678823111160652,Validation,32,320000.0,466554.7316429807,45.79835363843148,5462.4090044008,58.582211574085974,9.96875,22,-0.048902934505690165,False,-0.2856911656172967
Core50_Dip50_5,TwentyDayDD_2,5,0.5,Development,104,1040000.0,2893662.4284336045,178.23677196476967,53135.57447714122,19.572574687178836,3.7788461538461537,37,-0.1454033411209643,Validation,32,320000.0,466122.9837148945,45.663432410904534,5457.35411242338,58.63647353788841,3.5625,13,-0.14139728970385956,False,-0.2868006308248239
Core75_Dip25_10,ThreeDayDrop_2.50,10,0.75,Development,104,1040000.0,2893383.221010132,178.20992509712812,53130.44746346516,19.57446341318977,9.548076923076923,9,-0.1550382399194583,Validation,32,320000.0,466167.1577632178,45.67723680100557,5457.871300875145,58.630917139561255,9.25,6,-0.13193378136864276,False,-0.28697202128810106
