variant,filter,train_trades,train_win_rate,train_pf,train_exp,train_dd,train_dur,test_trades,test_win_rate,test_pf,test_exp,test_dd,test_dur
ema_structure_break|or15|end=14:15|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=not_both_against|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,25,64.0,3.2408354646207047,0.8067007672634382,-2.9999999999999325,55.72,0,0.0,0.0,0.0,0.0,0.0
breakout_close|or15|end=10:30|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,signal_bucket=10:00-10:30 & macro_alignment=aligned_1d_1w,19,68.42105263157895,3.1496598639456144,0.6788399570354464,-1.9999999999999876,43.31578947368421,2,50.0,1.4999999999999811,0.24999999999999145,-1.0000000000000036,87.0
breakout_close|or15|end=11:30|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,signal_bucket=10:00-10:30 & macro_alignment=aligned_1d_1w,19,68.42105263157895,3.1496598639456144,0.6788399570354464,-1.9999999999999876,43.31578947368421,2,50.0,1.4999999999999811,0.24999999999999145,-1.0000000000000036,87.0
ema_structure_break|or15|end=14:15|rr=2.0|atr=1.0|vol=0.8|vwap=1|ema=0|macro=none|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,22,63.63636363636363,3.145939897698286,0.7803417809811783,-2.9999999999999325,59.40909090909091,0,0.0,0.0,0.0,0.0,0.0
ema_structure_break|or15|end=14:15|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,22,63.63636363636363,3.145939897698283,0.780341780981178,-2.9999999999999325,60.63636363636363,0,0.0,0.0,0.0,0.0,0.0
breakout_retest|or15|end=11:30|rr=2.0|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,macro_alignment=mixed_or_neutral & or_size=small_or,18,61.111111111111114,3.1428571428571934,0.8333333333333459,-2.0000000000000195,62.77777777777778,1,0.0,0.0,-0.999999999999976,0.0,14.0
breakout_close|or30|end=10:30|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,signal_bucket=10:00-10:30 & macro_alignment=aligned_1d_1w,21,61.904761904761905,3.112244897959224,0.8046647230320756,-2.999999999999953,56.333333333333336,3,33.33333333333333,1.0000000000000144,9.547918011776346e-15,-1.9999999999999714,75.33333333333333
breakout_close|or30|end=11:30|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,signal_bucket=10:00-10:30 & macro_alignment=aligned_1d_1w,21,61.904761904761905,3.112244897959224,0.8046647230320756,-2.999999999999953,56.333333333333336,3,33.33333333333333,1.0000000000000144,9.547918011776346e-15,-1.9999999999999714,75.33333333333333
breakout_retest|or30|end=11:30|rr=2.0|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,direction=LONG & or_size=small_or,21,61.904761904761905,3.069852941176535,0.7885154061624808,-2.9999999999999085,57.095238095238095,0,0.0,0.0,0.0,0.0,0.0
breakout_close|or30|end=10:30|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,direction=LONG & or_size=small_or,27,66.66666666666666,3.000000000000074,0.666666666666679,-2.4999999999999254,29.85185185185185,0,0.0,0.0,0.0,0.0,0.0
breakout_retest|or30|end=10:30|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,direction=LONG & or_size=small_or,27,66.66666666666666,3.000000000000074,0.666666666666679,-2.4999999999999254,29.85185185185185,0,0.0,0.0,0.0,0.0,0.0
breakout_close|or15|end=10:30|rr=1.5|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,macro_alignment=mixed_or_neutral & gap_direction=no_gap,15,66.66666666666666,3.000000000000067,0.6666666666666832,-2.0000000000000284,52.266666666666666,9,22.22222222222222,0.42857142857143304,-0.44444444444443615,-3.9999999999999503,18.444444444444443
