trades,win_rate,profit_factor,expectancy_r,max_drawdown_r,avg_trade_duration_min,avg_r,gross_profit_r,gross_loss_r,variant,set_name,setup,boundary,rr
16,31.25,0.68181818181818,-0.2187500000000005,-6.499999999999995,37.25,-0.2187500000000005,7.499999999999954,10.999999999999961,breakout_retest|or15|end=10:30|rr=1.5|atr=1.0|vol=0.8|vwap=1|ema=1|macro=not_both_against|band=1.2,test,breakout_retest,or15,1.5
70,42.857142857142854,1.0999489795918533,0.05711370262391546,-12.002040816326346,44.0,0.05711370262391546,43.997959183673686,39.999999999999595,breakout_retest|or15|end=10:30|rr=1.5|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,train,breakout_retest,or15,1.5
24,33.33333333333333,0.7500000000000036,-0.16666666666666338,-6.999999999999928,60.708333333333336,-0.16666666666666338,11.999999999999993,15.999999999999915,breakout_retest|or15|end=10:30|rr=1.5|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,test,breakout_retest,or15,1.5
40,42.5,1.0825199645075576,0.04744897959184509,-9.102040816326442,45.0,0.04744897959184509,24.897959183673592,22.999999999999787,breakout_retest|or15|end=10:30|rr=1.5|atr=1.0|vol=1.2|vwap=1|ema=1|macro=not_both_against|band=1.2,train,breakout_retest,or15,1.5
10,20.0,0.37499999999999856,-0.4999999999999984,-5.499999999999971,47.2,-0.4999999999999984,2.9999999999999725,7.999999999999957,breakout_retest|or15|end=10:30|rr=1.5|atr=1.0|vol=1.2|vwap=1|ema=1|macro=not_both_against|band=1.2,test,breakout_retest,or15,1.5
119,36.134453781512605,1.1078098471986546,0.06885334779073664,-12.999999999999911,55.319327731092436,0.06885334779073664,84.19354838709688,75.99999999999922,breakout_retest|or15|end=10:30|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,train,breakout_retest,or15,2.0
32,28.125,0.7826086956521782,-0.1562499999999962,-9.999999999999964,67.0,-0.1562499999999962,18.000000000000007,22.999999999999883,breakout_retest|or15|end=10:30|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,test,breakout_retest,or15,2.0
64,34.375,1.0046082949308897,0.0030241935483961147,-15.999999999999709,52.3125,0.0030241935483961147,42.193548387096854,41.99999999999949,breakout_retest|or15|end=10:30|rr=2.0|atr=1.0|vol=0.8|vwap=1|ema=1|macro=not_both_against|band=1.2,train,breakout_retest,or15,2.0
16,25.0,0.6666666666666694,-0.2499999999999968,-6.999999999999931,39.3125,-0.2499999999999968,7.9999999999999964,11.999999999999945,breakout_retest|or15|end=10:30|rr=2.0|atr=1.0|vol=0.8|vwap=1|ema=1|macro=not_both_against|band=1.2,test,breakout_retest,or15,2.0
70,38.57142857142858,1.1672443621109478,0.10273582243958113,-11.002040816326385,59.05714285714286,0.10273582243958113,50.191507570770284,42.999999999999595,breakout_retest|or15|end=10:30|rr=2.0|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,train,breakout_retest,or15,2.0
24,20.833333333333336,0.526315789473686,-0.37499999999999584,-10.99999999999988,70.08333333333333,-0.37499999999999584,9.999999999999961,18.99999999999986,breakout_retest|or15|end=10:30|rr=2.0|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,test,breakout_retest,or15,2.0
