name,strength_atr,position_min,volume_quantile,target_r,volume_cutoff,Trades,WinRate,ProfitFactor,Expectancy,MaxDrawdown
opening_drive,0.25,0.7,0.5,2.0,0.9273838643283765,40,0.425,0.6717813514009991,-0.0011477467299948136,-0.05249324132669664
opening_drive,0.25,0.7,0.75,1.5,1.3418780666299799,21,0.47619047619047616,0.8499856321369054,-0.00044030287781071604,-0.017619227958694528
opening_drive,0.25,0.7,0.75,2.0,1.3418780666299799,21,0.47619047619047616,0.8557038881636657,-0.0004235193881989822,-0.018594574648490125
opening_drive,0.25,0.8,0.25,1.5,0.6557702374544552,47,0.44680851063829785,0.9082853745816118,-0.000321089967049197,-0.03958724918934742
opening_drive,0.25,0.8,0.25,2.0,0.6557702374544552,47,0.44680851063829785,0.9356026608449463,-0.0002254530224925992,-0.039587249189347085
opening_drive,0.25,0.8,0.5,1.5,0.9273838643283765,30,0.4,0.7249967513328939,-0.001075738830148909,-0.03451061827359014
opening_drive,0.25,0.8,0.5,2.0,0.9273838643283765,30,0.4,0.6083721055039424,-0.001531943113838789,-0.047533182302000765
opening_drive,0.25,0.8,0.75,1.5,1.3418780666299799,15,0.4,0.7467200803114696,-0.0009161684273249515,-0.02288675064306045
opening_drive,0.25,0.8,0.75,2.0,1.3418780666299799,15,0.4,0.704828422012964,-0.0010676996452303167,-0.02362219387545572
opening_drive,0.25,0.9,0.25,1.5,0.6557702374544552,28,0.42857142857142855,1.0229563587804715,6.970575588241189e-05,-0.015130255807696225
opening_drive,0.25,0.9,0.25,2.0,0.6557702374544552,28,0.42857142857142855,1.1272797754747528,0.00038647823214710313,-0.019476001938291465
opening_drive,0.25,0.9,0.5,1.5,0.9273838643283765,18,0.3333333333333333,0.581210799672333,-0.0015493539703344797,-0.04232712159618912
opening_drive,0.25,0.9,0.5,2.0,0.9273838643283765,18,0.3333333333333333,0.49900545095751137,-0.0018534811620442631,-0.04948607236087976
opening_drive,0.25,0.9,0.75,1.5,1.3418780666299799,8,0.125,0.06517982588325352,-0.005096058105383841,-0.03874769760006247
opening_drive,0.25,0.9,0.75,2.0,1.3418780666299799,8,0.125,0.06517982588325352,-0.005096058105383841,-0.03874769760006247
opening_drive,0.35,0.7,0.25,1.5,0.6557702374544552,33,0.48484848484848486,1.0066365953508452,1.9880325256925457e-05,-0.0261631160703939
opening_drive,0.35,0.7,0.25,2.0,0.6557702374544552,33,0.48484848484848486,0.9959907112703356,-1.2010068383104953e-05,-0.029098429979959817
opening_drive,0.35,0.7,0.5,1.5,0.9273838643283765,24,0.4166666666666667,0.8417321949917551,-0.0005451571934674314,-0.026292291522313382
opening_drive,0.35,0.7,0.5,2.0,0.9273838643283765,24,0.4166666666666667,0.7597742833989496,-0.0008274631562250376,-0.02629229152231327
opening_drive,0.35,0.7,0.75,1.5,1.3418780666299799,13,0.46153846153846156,0.9012035189759903,-0.00028208965848502477,-0.01700980140725261
opening_drive,0.35,0.7,0.75,2.0,1.3418780666299799,13,0.46153846153846156,0.9277928423428891,-0.00020617022218350728,-0.0170098014072525
opening_drive,0.35,0.8,0.25,1.5,0.6557702374544552,28,0.42857142857142855,0.8872070550599145,-0.0003890055876334709,-0.03269192285304945
opening_drive,0.35,0.8,0.25,2.0,0.6557702374544552,28,0.42857142857142855,0.8763091784856321,-0.00042659069442350694,-0.03560755780233127
opening_drive,0.35,0.8,0.5,1.5,0.9273838643283765,20,0.35,0.7066246943812452,-0.001179115974421685,-0.028197864361805824
opening_drive,0.35,0.8,0.5,2.0,0.9273838643283765,20,0.35,0.6223361936074712,-0.0015178831297308123,-0.03206627147732466
opening_drive,0.35,0.8,0.75,1.5,1.3418780666299799,10,0.4,0.8250721247587574,-0.0006093190013148448,-0.017009801407252834
opening_drive,0.35,0.8,0.75,2.0,1.3418780666299799,10,0.4,0.8534063033236855,-0.000510623734122872,-0.01700980140725261
opening_drive,0.35,0.9,0.25,1.5,0.6557702374544552,16,0.375,0.9956481380337011,-1.320320030805789e-05,-0.03108099341555348
opening_drive,0.35,0.9,0.25,2.0,0.6557702374544552,16,0.375,0.9329719250798691,-0.00020335780552953987,-0.03108099341555348
opening_drive,0.35,0.9,0.5,1.5,0.9273838643283765,11,0.2727272727272727,0.712744660152062,-0.0010281238894811568,-0.034136196788597695
opening_drive,0.35,0.9,0.5,2.0,0.9273838643283765,11,0.2727272727272727,0.5155840460424995,-0.0017337871420359094,-0.034136196788597695
opening_drive,0.35,0.9,0.75,1.5,1.3418780666299799,4,0.0,0.0,-0.006046338402976914,-0.018237312295214747
opening_drive,0.35,0.9,0.75,2.0,1.3418780666299799,4,0.0,0.0,-0.006046338402976914,-0.018237312295214747
