latest_signal,stop_mode,target_r,rvol_filter,rvol_cutoff,Trades,WinRate,ProfitFactor,Expectancy,MaxDrawdown
14:30,midpoint,1.0,median,0.9258669933704685,24,0.4583333333333333,0.5788859194635204,-0.0008060150820106312,-0.03115657433264296
14:30,midpoint,1.0,upper_quartile,1.338762351368445,9,0.6666666666666666,1.6672202770957143,0.0007702897023977747,-0.010113334646455585
14:30,midpoint,1.5,none,0.0,57,0.3157894736842105,0.35392095944545293,-0.001511980868577211,-0.08630558269617372
14:30,midpoint,1.5,median,0.9258669933704685,24,0.375,0.37446781702105225,-0.0014305957398849458,-0.036847019491728306
14:30,midpoint,1.5,upper_quartile,1.338762351368445,9,0.4444444444444444,0.6649752418723168,-0.0007200153541189676,-0.010113334646455696
14:30,midpoint,2.0,none,0.0,57,0.3157894736842105,0.48242857923514987,-0.001211242026435478,-0.07187276683210098
14:30,midpoint,2.0,median,0.9258669933704685,24,0.375,0.49344901806200747,-0.001158485041239544,-0.031156574332643072
14:30,midpoint,2.0,upper_quartile,1.338762351368445,9,0.4444444444444444,0.868536351877075,-0.0002825338810361121,-0.010113334646455696
14:30,opposite_boundary,1.0,none,0.0,57,0.45614035087719296,0.687045087091095,-0.0008217490136450438,-0.05243362215139524
14:30,opposite_boundary,1.0,median,0.9258669933704685,24,0.5,0.6225718882505294,-0.0010206128975568378,-0.027671484913731836
14:30,opposite_boundary,1.0,upper_quartile,1.338762351368445,9,0.4444444444444444,0.629374985624181,-0.0011204091119693604,-0.016653654458247735
14:30,opposite_boundary,1.5,none,0.0,57,0.40350877192982454,0.7620724561746738,-0.0006438607638486827,-0.046154724052289264
