latest_signal,stop_mode,target_r,rvol_filter,rvol_cutoff,Trades,WinRate,ProfitFactor,Expectancy,MaxDrawdown
13:30,midpoint,1.5,upper_quartile,1.601467578179715,16,0.375,0.6994227525747941,-0.0017545832335946962,-0.03405390758174631
13:30,midpoint,2.0,none,0.0,117,0.3333333333333333,0.6822002116607326,-0.0015557871569971326,-0.20209122051405704
13:30,midpoint,2.0,median,0.9865015709721467,45,0.37777777777777777,0.8483781906115301,-0.0007505881747681211,-0.05755195454794848
13:30,midpoint,2.0,upper_quartile,1.601467578179715,16,0.375,0.8844500035406667,-0.0006745090926415578,-0.026708804691605637
13:30,opposite_boundary,1.0,none,0.0,51,0.39215686274509803,0.6013625054999432,-0.0020252897234753243,-0.12209922923404459
13:30,opposite_boundary,1.0,median,0.9865015709721467,13,0.46153846153846156,0.8261932169386136,-0.0007112235767516335,-0.02367432219232657
13:30,opposite_boundary,1.0,upper_quartile,1.601467578179715,3,0.3333333333333333,0.36812485450216176,-0.0029940149412436643,-0.01417247304280056
13:30,opposite_boundary,1.5,none,0.0,51,0.3137254901960784,0.5750461909147291,-0.0023734134429365945,-0.14041578988873682
13:30,opposite_boundary,1.5,median,0.9865015709721467,13,0.38461538461538464,0.7968180197475816,-0.0009292999148808707,-0.035187056610907486
13:30,opposite_boundary,1.5,upper_quartile,1.601467578179715,3,0.3333333333333333,0.5873616300168175,-0.0019552050019101537,-0.01417247304280056
13:30,opposite_boundary,2.0,none,0.0,51,0.3137254901960784,0.6695689985784828,-0.0018454932370766512,-0.12921571541658283
13:30,opposite_boundary,2.0,median,0.9865015709721467,13,0.38461538461538464,0.8826998036214032,-0.0005364996559966439,-0.031833693236077876
13:30,opposite_boundary,2.0,upper_quartile,1.601467578179715,3,0.3333333333333333,0.29796908633748004,-0.0033264341218303493,-0.01417247304280056
14:30,midpoint,1.0,none,0.0,140,0.4928571428571429,0.6989790057397018,-0.0011390209090106928,-0.16866123414152712
14:30,midpoint,1.0,median,0.9865015709721467,53,0.4716981132075472,0.7561649604852799,-0.0010083490852029774,-0.051629827359916836
14:30,midpoint,1.0,upper_quartile,1.601467578179715,16,0.4375,0.71793124082092,-0.0014570650367649457,-0.04284342703080202
14:30,midpoint,1.5,none,0.0,140,0.4,0.6373391199501418,-0.0016179567749580299,-0.22497519299797952
14:30,midpoint,1.5,median,0.9865015709721467,53,0.41509433962264153,0.7236396906181821,-0.0012975052961949896,-0.0741531599364782
14:30,midpoint,1.5,upper_quartile,1.601467578179715,16,0.375,0.6994227525747941,-0.0017545832335946962,-0.03405390758174631
14:30,midpoint,2.0,none,0.0,140,0.35714285714285715,0.6986433446925513,-0.0014065947715088446,-0.21381905072884166
14:30,midpoint,2.0,median,0.9865015709721467,53,0.37735849056603776,0.8407400777425672,-0.000776060125530796,-0.06323913747410448
14:30,midpoint,2.0,upper_quartile,1.601467578179715,16,0.375,0.8844500035406667,-0.0006745090926415578,-0.026708804691605637
14:30,opposite_boundary,1.0,none,0.0,59,0.4406779661016949,0.6806819498518516,-0.0014394575548738653,-0.11427669731419277
14:30,opposite_boundary,1.0,median,0.9865015709721467,14,0.5,1.001943399587401,7.384427760374157e-06,-0.02367432219232657
14:30,opposite_boundary,1.0,upper_quartile,1.601467578179715,3,0.3333333333333333,0.36812485450216176,-0.0029940149412436643,-0.01417247304280056
14:30,opposite_boundary,1.5,none,0.0,59,0.3728813559322034,0.6909933529509916,-0.0015277515462315224,-0.1263962785993088
14:30,opposite_boundary,1.5,median,0.9865015709721467,14,0.42857142857142855,1.041088039643016,0.0001745024168695359,-0.035187056610907486
14:30,opposite_boundary,1.5,upper_quartile,1.601467578179715,3,0.3333333333333333,0.5873616300168175,-0.0019552050019101537,-0.01417247304280056
14:30,opposite_boundary,2.0,none,0.0,59,0.3559322033898305,0.7451798973875055,-0.001288942568999658,-0.13076960488331468
14:30,opposite_boundary,2.0,median,0.9865015709721467,14,0.42857142857142855,1.2139993131028135,0.0009088629603483429,-0.031833693236077876
14:30,opposite_boundary,2.0,upper_quartile,1.601467578179715,3,0.3333333333333333,0.29796908633748004,-0.0033264341218303493,-0.01417247304280056
